,TY-016,13010016,จักรอุตสาหกรรม (เข็มเดี่ยว),ASP,Typical,GC2060-1-D2,"Motor : 200-240v 550W 3A 4P 3,000 rpm",,1,เย็บเบาะรถยนต์,,,บ.บราเดอร์เซลล์ แอนด์ เซอร์วิส จำกัด,74500,02-6217777,14/2/2556,16/2/2556,16/2/2556,active,คัน,,,
,TY-017,13010017,จักรอุตสาหกรรม (เข็มเดี่ยว),ASP,Typical,GC2060-1-D2,"Motor : 200-240v 550W 3A 4P 3,000 rpm",,1,เย็บเบาะรถยนต์,,,บ.บราเดอร์เซลล์ แอนด์ เซอร์วิส จำกัด,74500,02-6217777,14/2/2556,16/2/2556,16/2/2556,active,คัน,,,
,TY-018,13010018,จักรอุตสาหกรรม (เข็มเดี่ยว),ASP,Typical,GC2060-1-D2,"Motor : 200-240v 550W 3A 4P 3,000 rpm",,1,เย็บเบาะรถยนต์,,,บ.บราเดอร์เซลล์ แอนด์ เซอร์วิส จำกัด,74500,02-6217777,14/2/2556,16/2/2556,16/2/2556,active,คัน,,,
,TY-019,13010019,จักรอุตสาหกรรม (เข็มเดี่ยว),ASP,Typical,GC2060-1-D2,"Motor : 200-240v 550W 3A 4P 3,000 rpm",,1,เย็บเบาะรถยนต์,,,บ.บราเดอร์เซลล์ แอนด์ เซอร์วิส จำกัด,74500,02-6217777,14/2/2556,16/2/2556,16/2/2556,active,คัน,,,
,TY-020,13010020,จักรอุตสาหกรรม (เข็มเดี่ยว),ASP,Typical,GC2060-1-D2,"Motor : 200-240v 550W 3A 4P 3,000 rpm",,1,เย็บเบาะรถยนต์,,,บ.บราเดอร์เซลล์ แอนด์ เซอร์วิส จำกัด,74500,02-6217777,14/2/2556,16/2/2556,16/2/2556,active,คัน,,,
,SE-018,55807,จักรอุตสาหกรรม (เข็มคู่),ASP,Mitsubishi,Lu2-4420-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,,,,,25/5/2547,25/5/2547,active,คัน,,,
,SE-025,,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-4400-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,,,,,11/6/2546,11/6/2546,active,คัน,,,
,SE-030,620004,จักรอุตสาหกรรม (เข็มคู่),ASP,Mitsubishi,Lu2-4420-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,,,,,16/6/2547,16/6/2547,active,คัน,,,
,SE-077,4Y0900,จักรอุตสาหกรรม (เข็มคู่),ASP,Mitsubishi,Lu2-4420-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,,,,,11/6/2546,11/6/2546,active,คัน,,,
,SE-084,,จักรอุตสาหกรรม (เข็มคู่),ASP,Mitsubishi,Lu2-420-BOB,Motor : Dol-12 / 2A 220w 2850 rpm,,1,เย็บเบาะรถยนต์,,,คุณ สมศักดิ์ ปล่องแก้ว (ช่างเล็ก),,081-8240655,,27/10/2550,27/10/2550,active,คัน,,,
,SE-105,,จักรอุตสาหกรรม ,ASP,,Pfaff : 3811,,,1,เย็บเบาะรถยนต์,,,,,,,25/8/2541,25/8/2541,active,คัน,,,
,SE-110,983220,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-400-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,มานะชัย,,,6/12/2546,6/12/2546,6/12/2546,active,คัน,,,
,SE-112,,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-4400-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,มานะชัย,29500,,6/12/2546,6/12/2546,6/12/2546,active,คัน,,,
,SE-117,0X4027,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-400-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,,,,,26/12/2547,26/12/2547,active,คัน,,,
,SE-121,992080,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-4400-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,,,,,9/12/2542,9/12/2542,active,คัน,,,
,SE-122,992079,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-4400-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,,,,,9/12/2542,9/12/2542,active,คัน,,,
,SE-127,992072,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-4400-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,,,,,9/12/2542,9/12/2542,active,คัน,,,
,SE-128,992077,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-4400-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,,,,,9/12/2542,9/12/2542,active,คัน,,,
,SE-135,,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-4400-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,,30000,,,31/1/2547,31/1/2547,active,คัน,,,
,SE-138,,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-4400-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,,30000,,,31/1/2547,31/1/2547,active,คัน,,,
,SE-140,992066,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-4400-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,,30000,,,31/1/2547,31/1/2547,active,คัน,,,
,SE-145,992066,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-4400-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,,,,,3/4/2543,3/4/2543,active,คัน,,,
,SE-149,9Y2275,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-4400-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,,,,,3/4/2543,3/4/2543,active,คัน,,,
,SE-150,9Y2274,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-4400-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,,,,,3/4/2543,3/4/2543,active,คัน,,,
,SE-152,9Y2268,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-4400-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,,,,,3/4/2543,3/4/2543,active,คัน,,,
,SE-165,9X2189,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-4400-BOB,"Motor 250 w , 1/4 HP ",,1,เย็บเบาะรถยนต์,,,,,,,3/4/2543,3/4/2543,active,คัน,,,
,SE-171,9Y2277,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-4400-BOB,"Motor 250 w , 1/4 HP 2,880 rpm",,1,เย็บเบาะรถยนต์,,,,,,,3/4/2543,3/4/2543,active,คัน,,,
,SE-172,9X2218,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-4400-BOB,"Motor 250 w , 1/4 HP 2,880 rpm",,1,เย็บเบาะรถยนต์,,,,,,,3/4/2543,3/4/2543,active,คัน,,,
,SE-174,9Y3771,จักรอุตสาหกรรม (เข็มคู่),ASP,Mitsubishi,Lu2-4420-BOB,"Motor 250 w , 1/4 HP 2,880 rpm",,1,เย็บเบาะรถยนต์,,,,,,,3/4/2543,3/4/2543,active,คัน,,,
,SE-176,9Y3772,จักรอุตสาหกรรม (เข็มคู่),ASP,Mitsubishi,Lu2-4420-BOB,"Motor 250 w , 1/4 HP 2,880 rpm",,1,เย็บเบาะรถยนต์,,,,,,,3/4/2543,3/4/2543,active,คัน,,,
,SE-177,9Y3775,จักรอุตสาหกรรม (เข็มคู่),ASP,Mitsubishi,Lu2-4420-BOB,"Motor 250 w , 1/4 HP 2,880 rpm",,1,เย็บเบาะรถยนต์,,,,,,,3/4/2543,3/4/2543,active,คัน,,,
,SE-179,9Y3773,จักรอุตสาหกรรม (เข็มคู่),ASP,Mitsubishi,Lu2-4420-BOB,"Motor 250 w , 1/4 HP 2,880 rpm",,1,เย็บเบาะรถยนต์,,,,,,,3/4/2543,3/4/2543,active,คัน,,,
,SE-201,092771,จักรอุตสาหกรรม (เข็มคู่),ASP,Mitsubishi,Lu2-4420-BOB,"Motor 250 w , 1/4 HP 2,880 rpm",,1,เย็บเบาะรถยนต์,,,,,,,2/1/2546,2/1/2546,active,คัน,,,
,SE-240,782286,จักรอุตสาหกรรม (เข็มคู่),ASP,Mitsubishi,Lu2-4420-BOB,"Motor 250 w , 1/4 HP 2,880 rpm",,1,เย็บเบาะรถยนต์,,,,,,,18/7/2546,18/7/2546,active,คัน,,,
,SE-241,4X0779,จักรอุตสาหกรรม (เข็มคู่),ASP,Mitsubishi,Lu2-4420-BOB,Motor 250 w 1/4 HP,,1,เย็บเบาะรถยนต์,,,,,,,18/7/2546,18/7/2546,active,คัน,,,
,SE-243,4X0777,จักรอุตสาหกรรม (เข็มคู่),ASP,Mitsubishi,Lu2-4420-BOB,Motor 250 w 1/4 HP,,1,เย็บเบาะรถยนต์,,,ห.จ.ก มานะชัยรวมจักร,29500,,11/11/2546,11/11/2546,11/11/2546,active,คัน,,,
,SE-244,,จักรอุตสาหกรรม (เข็มคู่),ASP,Mitsubishi,Lu2-4420-BOB,Motor 250 w 1/4 HP,,1,เย็บเบาะรถยนต์,,,ห.จ.ก มานะชัยรวมจักร,29500,,11/11/2546,11/11/2546,11/11/2546,active,คัน,,,
,SE-247,4X0780,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-4420-BOB,Motor 250 w 1/4 HP,,1,เย็บเบาะรถยนต์,,,ห.จ.ก มานะชัยรวมจักร,29500,,11/11/2546,11/11/2546,11/11/2546,active,คัน,,,
,SE-251,711325,จักรอุตสาหกรรม ,ASP,Mitsubishi,Lu2-400-BOB,Motor 250 w 1/4 HP,,1,เย็บเบาะรถยนต์,,,ห.จ.ก มานะชัยรวมจักร,24000,,11/11/2546,11/11/2546,11/11/2546,active,คัน,,,
